id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NA_choSartG00000024928	6	1.39e-13	2.7538e-07	5.3e-05	1	6	-3.3905	1.0	1.0	1.0	17977	0	0
NA_choSartG00000042240	6	1.7305e-11	2.7538e-07	5.3e-05	2	5	-3.3612	0.99499	0.99498	1.0	15849	0	0
CgPICR_018485_choSartG00000071624	6	1.3902e-10	2.7538e-07	5.3e-05	3	6	-2.6781	1.0	1.0	1.0	17976	0	0
GNB2L1_choSartG00000038411	6	1.9118e-10	2.7538e-07	5.3e-05	4	6	-2.5375	1.0	1.0	1.0	17975	0	0
CgPICR_016198_choSartG00000056717	6	1.947e-10	2.7538e-07	5.3e-05	5	6	-2.5674	1.0	1.0	1.0	17974	0	0
NA_choSartG00000013459	6	2.5317e-10	2.7538e-07	5.3e-05	6	6	-2.8763	1.0	1.0	1.0	17973	0	0
NA_choSartG00000054658	6	3.0831e-10	2.7538e-07	5.3e-05	7	6	-2.6542	1.0	1.0	1.0	17972	0	0
WDR82_choSartG00000024186	6	3.8783e-10	2.7538e-07	5.3e-05	8	6	-2.6811	1.0	1.0	1.0	17971	0	0
NA_choSartG00000042246	6	7.0524e-10	2.7538e-07	5.3e-05	9	6	-2.544	1.0	1.0	1.0	17970	0	0
PSMD8_choSartG00000045850	6	8.3149e-10	2.7538e-07	5.3e-05	10	6	-2.2946	1.0	1.0	1.0	17969	0	0
NA_choSartG00000026485	6	1.055e-09	2.7538e-07	5.3e-05	11	6	-2.4633	1.0	1.0	1.0	17968	0	0
PSMB3_choSartG00000040875	6	1.4028e-09	2.7538e-07	5.3e-05	12	6	-2.1924	1.0	1.0	1.0	17967	0	0
RAD51_choSartG00000033382	6	1.4708e-09	2.7538e-07	5.3e-05	13	6	-1.9939	1.0	1.0	1.0	17966	0	0
RPL27A_choSartG00000012350	6	1.6278e-09	2.7538e-07	5.3e-05	14	6	-2.7179	1.0	1.0	1.0	17965	0	0
NA_choSartG00000005829	6	1.8099e-09	2.7538e-07	5.3e-05	15	6	-2.7434	1.0	1.0	1.0	17964	0	0
CgPICR_019487_choSartG00000070474	6	3.0564e-09	2.7538e-07	5.3e-05	16	6	-2.4205	1.0	1.0	1.0	17963	0	0
NA_choSartG00000066241	6	3.2177e-09	2.7538e-07	5.3e-05	17	6	-2.7573	1.0	1.0	1.0	17947	0	0
NA_choSartG00000024955	6	3.3343e-09	2.7538e-07	5.3e-05	18	6	-2.7057	1.0	1.0	1.0	17956	0	0
