id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NA_choSartG00000024928	6	1.2863e-12	2.7538e-07	5.1e-05	1	6	-3.4365	1.0	1.0	1.0	17977	0	-3.4365
RPL27A_choSartG00000012350	6	8.1297e-12	2.7538e-07	5.1e-05	2	6	-2.7377	1.0	1.0	1.0	17976	0	-2.7377
NA_choSartG00000058580	6	4.7912e-11	2.7538e-07	5.1e-05	3	6	-2.9858	1.0	1.0	1.0	17961	0	-2.9858
CgPICR_018485_choSartG00000071624	6	6.8212e-11	2.7538e-07	5.1e-05	4	6	-2.7283	1.0	1.0	1.0	17975	0	-2.7283
NA_choSartG00000042240	6	1.5167e-10	2.7538e-07	5.1e-05	5	5	-2.9295	0.99996	0.99996	1.0	17317	0	-2.9295
PSMD6_choSartG00000061723	6	2.2683e-10	2.7538e-07	5.1e-05	6	6	-2.4652	1.0	1.0	1.0	17974	0	-2.4652
CgPICR_016198_choSartG00000056717	6	3.2559e-10	2.7538e-07	5.1e-05	7	6	-3.0986	1.0	1.0	1.0	17973	0	-3.0986
NA_choSartG00000048793	6	3.3384e-10	2.7538e-07	5.1e-05	8	6	-2.4197	1.0	1.0	1.0	17972	0	-2.4197
NA_choSartG00000042246	6	3.5521e-10	2.7538e-07	5.1e-05	9	6	-2.6442	1.0	1.0	1.0	17971	0	-2.6442
CgPICR_019487_choSartG00000070474	6	1.1586e-09	2.7538e-07	5.1e-05	10	6	-2.1709	1.0	1.0	1.0	17970	0	-2.1709
RNF216_choSartG00000046078	6	1.2621e-09	2.7538e-07	5.1e-05	11	6	-2.4031	1.0	1.0	1.0	17969	0	-2.4031
RPL3_choSartG00000007122	6	1.5714e-09	2.7538e-07	5.1e-05	12	6	-2.2934	1.0	1.0	1.0	17968	0	-2.2934
HMGB1_choSartG00000066310	6	2.2558e-09	2.7538e-07	5.1e-05	13	6	-2.0869	1.0	1.0	1.0	17967	0	-2.0869
