id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CgPICR_011490_choSartG00000005249	6	4.7312e-11	2.7538e-07	9.9e-05	1	6	-3.9766	1.0	1.0	1.0	17977	0	0
WDR82_choSartG00000024186	6	1.5403e-10	2.7538e-07	9.9e-05	2	6	-3.744	1.0	1.0	1.0	17976	0	0
NA_choSartG00000042240	6	1.04e-09	2.7538e-07	9.9e-05	3	6	-3.6908	0.99944	0.99946	1.0	16953	0	0
CgPICR_016198_choSartG00000056717	6	1.2685e-09	2.7538e-07	9.9e-05	4	6	-3.7228	1.0	1.0	1.0	17975	0	0
NA_choSartG00000058580	6	1.3331e-09	2.7538e-07	9.9e-05	5	6	-3.8371	1.0	1.0	1.0	17974	0	0
SREBF2_choSartG00000007231	6	1.3631e-09	2.7538e-07	9.9e-05	6	6	-3.3276	1.0	1.0	1.0	17957	0	0
PSMD8_choSartG00000045850	6	2.9845e-09	2.7538e-07	9.9e-05	7	6	-3.4392	1.0	1.0	1.0	17931	0	0
ALG2_choSartG00000068999	6	4.6511e-09	2.7538e-07	9.9e-05	8	6	-3.585	0.99992	0.99992	1.0	17342	0	0
GNB2L1_choSartG00000038411	6	7.6165e-09	2.7538e-07	9.9e-05	9	6	-3.1885	1.0	1.0	1.0	17973	0	0
RNF216_choSartG00000046078	6	1.0635e-08	2.7538e-07	9.9e-05	10	6	-3.2279	1.0	1.0	1.0	17972	0	0
NA_choSartG00000024928	6	1.1805e-08	2.7538e-07	9.9e-05	11	6	-3.9542	1.0	1.0	1.0	17930	0	0
RBX1_choSartG00000007196	6	1.2928e-08	2.7538e-07	9.9e-05	12	6	-3.1854	1.0	1.0	1.0	17971	0	0
PSMD6_choSartG00000061723	6	1.3449e-08	2.7538e-07	9.9e-05	13	6	-3.0277	1.0	1.0	1.0	17970	0	0
CgPICR_018485_choSartG00000071624	6	1.3632e-08	2.7538e-07	9.9e-05	14	6	-3.5635	1.0	1.0	1.0	17952	0	0
ECT2_choSartG00000053614	6	1.3899e-08	2.7538e-07	9.9e-05	15	6	-3.086	1.0	1.0	1.0	17929	0	0
PSMD14_choSartG00000034925	6	1.7657e-08	2.7538e-07	9.9e-05	16	6	-2.6896	1.0	1.0	1.0	17969	0	0
CgPICR_014528_choSartG00000051871	6	1.779e-08	2.7538e-07	9.9e-05	17	6	-2.8535	1.0	1.0	1.0	17968	0	0
ATP5B_choSartG00000053829	6	2.1802e-08	2.7538e-07	9.9e-05	18	6	-2.9921	1.0	1.0	1.0	17967	0	0
POLR1A_choSartG00000044445	6	2.3456e-08	2.7538e-07	9.9e-05	19	6	-2.8023	1.0	1.0	1.0	17966	0	0
RAD51_choSartG00000033382	6	2.3601e-08	2.7538e-07	9.9e-05	20	6	-2.7421	1.0	1.0	1.0	17965	0	0
SF1_choSartG00000010788	6	2.5728e-08	2.7538e-07	9.9e-05	21	6	-2.9335	1.0	1.0	1.0	17964	0	0
EEF1A1_choSartG00000019372	6	2.6729e-08	2.7538e-07	9.9e-05	22	6	-3.0871	1.0	1.0	1.0	17963	0	0
TCEB3B_choSartG00000046676	6	2.7827e-08	2.7538e-07	9.9e-05	23	6	-3.5816	0.99999	0.99999	1.0	17656	0	0
UXS1_choSartG00000058163	6	2.9001e-08	2.7538e-07	9.9e-05	24	6	-2.3059	1.0	1.0	1.0	17962	0	0
MCM3_choSartG00000058526	6	2.9404e-08	2.7538e-07	9.9e-05	25	6	-2.4997	1.0	1.0	1.0	17961	0	0
ATP6V0C_choSartG00000037888	6	3.1248e-08	2.7538e-07	9.9e-05	26	6	-3.7683	1.0	1.0	1.0	17960	0	0
NDUFA1_choSartG00000048340	6	3.2634e-08	2.7538e-07	9.9e-05	27	6	-2.9984	0.9998	0.99979	1.0	17164	0	0
RPL13A_choSartG00000036354	6	3.5259e-08	2.7538e-07	9.9e-05	28	6	-3.3535	1.0	1.0	1.0	17959	0	0
SCAP_choSartG00000024418	6	3.7331e-08	2.7538e-07	9.9e-05	29	6	-2.8227	1.0	1.0	1.0	17958	0	0
NA_choSartG00000024929	6	4.0804e-08	2.7538e-07	9.9e-05	30	5	-3.9682	0.9559	0.95593	1.0	15019	0	0
NFE2L2_choSartG00000034614	6	4.151e-08	2.7538e-07	9.9e-05	31	6	-2.7368	1.0	1.0	1.0	17956	0	0
CgPICR_019487_choSartG00000070474	6	4.9368e-08	2.7538e-07	9.9e-05	32	6	-2.9264	1.0	1.0	1.0	17955	0	0
CgPICR_009653_choSartG00000011260	6	5.1135e-08	2.7538e-07	9.9e-05	33	6	-2.9677	1.0	1.0	1.0	17954	0	0
CDC20_choSartG00000028504	6	5.1689e-08	2.7538e-07	9.9e-05	34	6	-2.525	1.0	1.0	1.0	17953	0	0
PET100_choSartG00000020215	6	5.286e-08	2.7538e-07	9.9e-05	35	6	-3.0595	1.0	1.0	1.0	17951	0	0
CHTOP_choSartG00000071718	5	5.3911e-08	2.7538e-07	9.9e-05	36	5	-3.4075	1.0	1.0	1.0	17950	0	0
RTCB_choSartG00000054315	6	5.5267e-08	2.7538e-07	9.9e-05	37	6	-2.3221	1.0	1.0	1.0	17949	0	0
