id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NA_choSartG00000024928	6	1.1069e-11	2.7538e-07	9.3e-05	1	6	-2.8875	1.0	1.0	1.0	17977	0	0
RPL27A_choSartG00000012350	6	5.1549e-11	2.7538e-07	9.3e-05	2	6	-2.5067	1.0	1.0	1.0	17976	0	0
ATP1B3_choSartG00000023891	6	7.8612e-11	2.7538e-07	9.3e-05	3	6	-2.2667	1.0	1.0	1.0	17975	0	0
GNB2L1_choSartG00000038411	6	9.1949e-11	2.7538e-07	9.3e-05	4	6	-2.3797	1.0	1.0	1.0	17974	0	0
CgPICR_018485_choSartG00000071624	6	1.3342e-10	2.7538e-07	9.3e-05	5	6	-2.6389	1.0	1.0	1.0	17973	0	0
WDR82_choSartG00000024186	6	6.2511e-10	2.7538e-07	9.3e-05	6	6	-2.4776	1.0	1.0	1.0	17972	0	0
MRPL4_choSartG00000072148	6	9.0059e-10	2.7538e-07	9.3e-05	7	6	-1.9464	1.0	1.0	1.0	17971	0	0
CgPICR_019487_choSartG00000070474	6	1.2433e-09	2.7538e-07	9.3e-05	8	6	-1.9895	1.0	1.0	1.0	17970	0	0
NA_choSartG00000042240	6	1.8726e-09	2.7538e-07	9.3e-05	9	6	-2.6315	1.0	1.0	1.0	17767	0	0
RPL3_choSartG00000007122	6	2.6115e-09	2.7538e-07	9.3e-05	10	6	-2.1374	1.0	1.0	1.0	17969	0	0
CHTOP_choSartG00000046148	5	4.3373e-09	2.7538e-07	9.3e-05	11	5	-2.5728	1.0	1.0	1.0	17968	0	0
NA_choSartG00000015109	6	5.0545e-09	2.7538e-07	9.3e-05	12	6	-1.6361	1.0	1.0	1.0	17967	0	0
SS18L2_choSartG00000024801	6	5.1205e-09	2.7538e-07	9.3e-05	13	6	-2.5197	1.0	1.0	1.0	17725	0	0
CgPICR_016198_choSartG00000056717	6	5.1897e-09	2.7538e-07	9.3e-05	14	6	-2.2134	1.0	1.0	1.0	17966	0	0
PSMB3_choSartG00000040875	6	7.239e-09	2.7538e-07	9.3e-05	15	6	-1.8061	1.0	1.0	1.0	17965	0	0
SNW1_choSartG00000028837	6	8.7195e-09	2.7538e-07	9.3e-05	16	6	-1.96	1.0	1.0	1.0	17917	0	0
NA_choSartG00000049865	6	8.7519e-09	2.7538e-07	9.3e-05	17	6	-2.629	0.99994	0.99994	1.0	17343	0	0
NDUFA1_choSartG00000048340	6	1.2048e-08	2.7538e-07	9.3e-05	18	6	-1.7033	1.0	1.0	1.0	17964	0	0
NA_choSartG00000048793	6	1.4801e-08	2.7538e-07	9.3e-05	19	6	-2.0046	1.0	1.0	1.0	17963	0	0
CgPICR_014528_choSartG00000051871	6	1.537e-08	2.7538e-07	9.3e-05	20	6	-1.9366	1.0	1.0	1.0	17792	0	0
PSMD8_choSartG00000045850	6	1.581e-08	2.7538e-07	9.3e-05	21	6	-2.0615	1.0	1.0	1.0	17962	0	0
OPA1_choSartG00000019045	6	1.6894e-08	2.7538e-07	9.3e-05	22	6	-1.8084	1.0	1.0	1.0	17961	0	0
NA_choSartG00000024955	6	1.8389e-08	2.7538e-07	9.3e-05	23	6	-2.4282	1.0	1.0	1.0	17960	0	0
NA_choSartG00000072082	6	2.1594e-08	2.7538e-07	9.3e-05	24	4	-2.9492	0.99968	0.99968	1.0	16987	0	0
RPP21_choSartG00000070531	5	2.2019e-08	2.7538e-07	9.3e-05	25	5	-2.0849	1.0	1.0	1.0	17959	0	0
PSMB4_choSartG00000052213	6	2.2143e-08	2.7538e-07	9.3e-05	26	6	-2.1473	1.0	1.0	1.0	17958	0	0
YARS_choSartG00000001600	6	2.2189e-08	2.7538e-07	9.3e-05	27	6	-1.6903	1.0	1.0	1.0	17957	0	0
CgPICR_020489_choSartG00000070227	6	2.4967e-08	2.7538e-07	9.3e-05	28	6	-2.1134	1.0	1.0	1.0	17736	0	0
CgPICR_001962_choSartG00000018441	6	2.6998e-08	2.7538e-07	9.3e-05	29	6	-1.9697	1.0	1.0	1.0	17956	0	0
RABGGTB_choSartG00000068663	6	2.7188e-08	2.7538e-07	9.3e-05	30	6	-2.1461	1.0	1.0	1.0	17955	0	0
