id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SLC36A2_choSartG00000038722	6	0.98821	0.98822	0.999988	17425	0	0	1.5308e-08	2.7538e-07	0.00495	1	2	5.1074
HOXC6_choSartG00000008013	6	0.60822	0.66248	0.999988	9588	1	-0.86145	3.8258e-07	2.4784e-06	0.022277	2	2	2.9429
LRRK2_choSartG00000007563	6	0.90148	0.90141	0.999988	14829	0	0	8.3764e-06	3.993e-05	0.161386	3	4	1.2706
JAGN1_choSartG00000043519	6	0.32128	0.46224	0.999988	6395	1	-1.4964	8.9138e-06	4.1582e-05	0.161386	4	4	1.3427
ARHGAP35_choSartG00000029768	6	0.95077	0.95065	0.999988	16205	0	0	9.6698e-06	4.4887e-05	0.161386	5	4	1.4935
Non_targeting_Group_83	18	0.99775	0.99775	0.999988	17845	0	0	1.3167e-05	7.5729e-05	0.194484	6	5	1.8146
NMNAT1_choSartG00000000473	6	0.77764	0.77959	0.999988	11978	1	-0.55909	1.8698e-05	7.5454e-05	0.194484	7	2	2.0998
SET_choSartG00000004303	6	0.78679	0.78787	0.999988	12149	1	-0.54584	2.7383e-05	0.00010217	0.229579	8	2	3.7033
RPL5_choSartG00000048931	6	0.14264	0.28251	0.999988	4335	2	-1.3739	3.3276e-05	0.00012475	0.229785	9	2	1.9499
ACTB_choSartG00000019829	6	0.95078	0.95065	0.999988	16206	0	0	3.4467e-05	0.0001297	0.229785	10	3	1.4823
CAPN1_choSartG00000010835	6	0.23788	0.38116	0.999988	5357	1	-1.7854	4.0092e-05	0.00014898	0.229785	11	2	2.9341
ALPI_choSartG00000009042	6	0.83433	0.83444	0.999988	13199	0	0	4.1301e-05	0.00015339	0.229785	12	4	1.3039
AKAP3_choSartG00000042935	6	0.98375	0.98373	0.999988	17255	0	0	5.5432e-05	0.00020295	0.280655	13	4	1.2861
JADE3_choSartG00000050582	6	0.9995	0.99952	0.999988	17948	0	0	7.9674e-05	0.00028942	0.357426	14	4	1.4402
SLC45A2_choSartG00000006273	6	0.97981	0.97976	0.999988	17128	0	0	8.1658e-05	0.00029824	0.357426	15	4	1.3842
CgPICR_013898_choSartG00000032683	6	0.0016145	0.0069933	0.123393	1016	1	-5.4956	8.8259e-05	0.00032908	0.36974	16	4	1.2308
TLR7_choSartG00000049835	6	0.81884	0.81883	0.999988	12838	0	0	9.2864e-05	0.00035111	0.371287	17	2	1.9052
TBX18_choSartG00000051939	6	0.97042	0.97053	0.999988	16833	0	0	0.00011729	0.00043978	0.439219	18	2	2.2905
CgPICR_012913_choSartG00000031698	6	0.67324	0.70131	0.999988	10317	1	-0.7407	0.00013691	0.00050367	0.460149	19	2	3.3427
ZDHHC19_choSartG00000018897	6	0.29893	0.44029	0.999988	6105	1	-1.5654	0.00013854	0.00051193	0.460149	20	4	1.1738
FCGBP_choSartG00000067278	6	0.2019	0.3467	0.999988	4988	1	-1.9417	0.00020049	0.00072618	0.621641	21	2	1.9573
CLEC4F_choSartG00000044185	6	0.88854	0.8884	0.999988	14495	0	0	0.00023239	0.00079337	0.629332	22	2	1.8806
CgPICR_021196_choSartG00000046271	6	0.96429	0.9644	0.999988	16632	0	0	0.00024643	0.00083963	0.629332	23	2	3.2134
CDK4_choSartG00000049387	6	0.80058	0.80086	0.999988	12434	1	-0.52101	0.00024692	0.00084018	0.629332	24	3	1.5041
RAP1A_choSartG00000051718	6	0.94619	0.94601	0.999988	16072	0	0	0.00027019	0.00091398	0.657228	25	3	1.3002
Non_targeting_Group_98	18	0.89173	0.95471	0.999988	14576	1	-1.0206	0.00029107	0.0014691	0.685072	26	4	1.7403
PDZD11_choSartG00000063692	6	0.93477	0.93465	0.999988	15744	0	0	0.00033816	0.0011056	0.685072	27	2	1.673
MAML3_choSartG00000071901	6	0.66133	0.69371	0.999988	10187	1	-0.76271	0.00034003	0.0011106	0.685072	28	3	1.3848
H2AFJ_choSartG00000042622	6	0.68752	0.71058	0.999988	10514	1	-0.7151	0.00035593	0.0011541	0.685072	29	1	3.8261
LGI4_choSartG00000065768	6	0.99366	0.99366	0.999988	17657	0	0	0.00037525	0.0012169	0.685072	30	3	1.2644
FGF13_choSartG00000019064	6	0.99593	0.99592	0.999988	17762	0	0	0.00038319	0.0012406	0.685072	31	2	1.6598
TPRG1L_choSartG00000014693	6	0.81128	0.81136	0.999988	12662	0	0	0.00039558	0.0012758	0.685072	32	2	1.8295
SP110_choSartG00000008958	6	0.26769	0.4099	0.999988	5691	2	-1.2086	0.00041068	0.0013138	0.685072	33	1	3.6023
CgPICR_015562_choSartG00000042802	6	0.92586	0.92576	0.999988	15508	0	0	0.00042093	0.0013381	0.685072	34	3	1.6576
NA_choSartG00000008895	6	0.82339	0.82347	0.999988	12945	0	0	0.00045098	0.0014157	0.685072	35	3	1.2509
CgPICR_011619_choSartG00000047688	6	0.77258	0.77515	0.999988	11870	1	-0.56868	0.00046041	0.0014416	0.685072	36	2	1.6663
CHCHD7_choSartG00000003412	6	0.6282	0.67374	0.999988	9812	1	-0.82778	0.00046534	0.001457	0.685072	37	3	1.6084
MSANTD4_choSartG00000021597	6	0.58554	0.65023	0.999988	9383	1	-0.90401	0.00046543	0.0014576	0.685072	38	2	2.4102
CgPICR_015457_choSartG00000035810	6	0.45341	0.58862	0.999988	8322	1	-1.1569	0.00047653	0.0014862	0.685072	39	3	1.2303
ART2B_choSartG00000012721	6	0.30788	0.44908	0.999988	6213	1	-1.5404	0.00049542	0.0015407	0.69245	40	2	1.6304
STK25_choSartG00000009376	6	0.85433	0.85424	0.999988	13675	0	0	0.00052017	0.0016052	0.693659	41	2	2.3573
TADA3_choSartG00000005471	6	0.99164	0.99165	0.999988	17562	0	0	0.0005237	0.0016206	0.693659	42	2	1.7178
FAM101A_choSartG00000021030	6	0.99163	0.99164	0.999988	17561	0	0	0.00057235	0.0017484	0.730946	43	3	1.4378
ANXA6_choSartG00000038714	6	0.9602	0.96025	0.999988	16508	0	0	0.00060316	0.0018365	0.750338	44	3	1.3054
DNAH2_choSartG00000044517	6	0.94829	0.94818	0.999988	16134	0	0	0.00067445	0.0020342	0.774023	45	3	1.3304
NA_choSartG00000041557	6	0.72395	0.73626	0.999988	11061	1	-0.65316	0.00069849	0.0021014	0.774023	46	2	1.9092
NAT8B-PS_choSartG00000064860	4	0.31267	0.40196	0.999988	6275	1	-1.2141	0.00071115	0.0019836	0.774023	47	2	1.4904
CgPICR_016292_choSartG00000029649	6	0.43409	0.57514	0.999988	8106	1	-1.2007	0.00073913	0.0022077	0.774023	48	1	3.1801
CgPICR_007988_choSartG00000018296	6	0.95581	0.95584	0.999988	16365	0	0	0.00076094	0.0022628	0.774023	49	3	1.2733
NA_choSartG00000042924	6	0.4033	0.54378	0.999988	7601	2	-0.55998	0.00077097	0.0022953	0.774023	50	3	1.1735
CgPICR_023421_choSartG00000056584	6	0.82386	0.82394	0.999988	12958	0	0	0.00078926	0.0023515	0.774023	51	2	1.5856
CgPICR_018086_choSartG00000066908	6	0.12481	0.25363	0.999988	3987	3	-0.76919	0.00079386	0.0023647	0.774023	52	1	3.0871
CgPICR_007755_choSartG00000068048	6	0.49189	0.60515	0.999988	8576	1	-1.0844	0.00081083	0.002406	0.774023	53	2	1.9375
choSartG00000044941-INT_choSartG00000044941-INT	17	0.70283	0.87098	0.999988	10732	1	-1.4149	0.00084601	0.003659	0.774023	54	5	1.1521
UNC5B_choSartG00000059135	6	0.99305	0.99307	0.999988	17634	0	0	0.00084859	0.0025167	0.774023	55	2	2.1193
PNPLA4_choSartG00000064388	6	0.99701	0.997	0.999988	17810	0	0	0.00085875	0.0025415	0.774023	56	3	1.2875
FAM98B_choSartG00000033460	6	0.38577	0.52627	0.999988	7342	1	-1.3183	0.00089743	0.0026505	0.774023	57	3	1.1835
ALDH1A7_choSartG00000010280	6	0.96785	0.96794	0.999988	16755	0	0	0.00092516	0.0027166	0.774023	58	3	1.4022
RPL23A_choSartG00000003613	6	0.49645	0.60722	0.999988	8618	1	-1.0734	0.00094621	0.0027755	0.774023	59	2	1.8279
